3837,108,58,110,¥
327,99,54,102,¦
153,230,204,217,§
554,219,179,203,¨
553,163,99,139,©
552,128,58,107,ª
550,92,24,78,«
3747,211,215,237,¬
341,183,191,221,®
156,163,174,209,¯
340,173,167,199,°
155,152,145,182,±
3746,119,107,152,²
333,92,84,120,³
157,187,195,217,´
794,143,156,193,µ
793,112,125,162,¶
3807,96,103,140,·
792,85,91,123,¸
158,76,82,110,¹
791,70,69,99,º
3840,176,192,218,»
3839,123,142,171,¼
3838,92,114,148,½
800,192,204,222,¾
809,148,168,198,¿
799,116,142,182,À
798,70,106,142,Á
797,19,71,125,Â
796,17,65,109,Ã
820,14,54,92,Ä
162,219,236,245,Å
827,189,221,237,Æ
813,161,194,215,Ç
826,107,158,191,È
825,71,129,165,É
824,57,105,135,Ê
996,48,194,236,Ë
3843,20,170,208,Ì
995,38,150,182,Í
3846,6,227,230,Î
3845,4,196,202,Ï
3844,18,174,186,Ð
159,199,202,215,Ñ
160,153,159,183,Ò
161,120,128,164,Ó
3756,238,252,252,Ô
775,217,235,241,Õ
3841,205,223,237,Ö
3325,184,210,230,×
3755,147,180,206,Ø
334,115,159,193,Ù
322,90,143,184,Ú
312,53,102,139,Û
803,44,89,124,Ü
336,37,59,115,Ý
823,33,48,99,Þ
939,27,40,83,ß
3753,219,226,233,à
3752,199,209,219,á
932,162,181,198,â
931,106,133,158,ã
930,69,92,113,ä
3750,56,76,94,å
828,197,232,237,æ
3761,172,216,226,ç
519,126,177,200,è
518,79,147,167,é
3760,62,133,162,ê
517,59,118,143,ë
3842,50,102,124,ì
311,28,80,102,í
747,229,252,253,î
3766,153,207,217,ï
807,100,171,186,ð
806,61,149,165,ñ
3765,52,127,140,ò
3811,188,227,230,ó
598,144,195,204,ô
597,91,163,179,õ
3810,72,142,154,ö
3809,63,124,133,÷
3808,54,105,112,ø
928,221,227,227,ù
927,189,203,203,ú
926,152,174,174,û
3768,101,127,127,ü
924,86,106,106,ý
3849,82,179,164,þ
3848,85,147,146,ÿ
3847,52,125,117,Ā
964,169,226,216,ā
959,89,199,180,Ă
958,62,182,161,ă
